Input,Category
Dangerous snakes have cat eyes,Pupils
Dangerous snakes have triangle heads,Dangerous Snakes
Snakes that rattle tail are dangerous,Rattle
Snakes will whip tails,Tail Whip
I should have snakes removed from my,Snake Benefits
Snakes are bad,Snake Benefits
Venomous snakes should be removed,Snake Benefits
Snakes make bad pets,Pet Snakes
Snakes are dangerous pets,Pet Snakes
Pet snakes are dangerous,Pet Snakes
Pet snakes can escape and harm the environment,Escape
Pet snakes are the most harmful to the environment,Escape
Snakes are lizards without legs,Definition
Snakes can't smell,Smell
Snakes track their prey for weeks,Eat
Snakes are dumb,Brain
Snakes are emotionless,Brain
Snakes have robot brains,Brain
Snakes are evil,Brain
Snakes squeeze prey to death,Suffication
Snakes wrap around people to eat them,Eat
Snakes can't swim,Swim
Snakes don't breathe,Body
Snakes don't care about their owners,Pet Snakes
Snakes can't recognize their owners,Pet Snakes
Snakes can smell fear,Fear
Snakes can sense fear,Fear
Snakes like music,Music
Snakes dance to music,Music
Snakes are cuddly to people,Pet Snakes
I understand,Understand
Yes,Understand
Okay,Understand
Thank you,Understand
What is your name?,Name
Who created you?,Creators
What have we talked about?,Topics
What have I learned again?,Topics
How much do you know?,Subjects
Why were you created?,Creation
Who are your parents?,Creators
What do you know about snakes?,Topics
I disagree,Misunderstand
I don't understand,Misunderstand
Why,Misunderstand
You are wrong,Misunderstand
That’s wrong,Misunderstand
That’s incorrect,Misunderstand
What else do you know?,Topics
Cool,Understand
Goodbye,Bye
Im leaving,Bye
See ya,Bye
Hi,Greeting
Hello,Greeting
How are you doing,Greeting
Snakes can bond with their owners,Pet Snakes
Snakes are terrible pets,Pet Snakes
Snakes shouldn't exist,Snake Benefits
Snakes only eat rodents,Eat
Snakes are cold bloodied and mean,Behavior
Snakes pretend to be dead,Scared
How do you know when a snake is threatened,Scared
How do you know when a snake will bite,Scared
Snakes cut in half can become two snakes,Body
Snakes never die,Live Forever
Snakes hold grudges,Brain
Snakes can regrow their heads,Body
Do snakes feel pain,Body
Snakes have emotions,Brain
Snakes can eat giant prey,Eat
Snakes can eat much more than their size,Eat
